"Gender","Age","City","Gov_Assistance","Education_Level","Physical_Activity","Breakfast_Frequency","Whole_Grain_Consumption","Dairy_Products_Consumption","Caffeine_Consumption","Fruits_Consumption","Vegetables_Consumption","Fish_Consumption","Food Security Score","Resilience Score","Stress Mindset Score","Mental Distress Score","FC"
"Female","18-22","Amman","Yes","Undergraduate","3 times","4 times","5 times or more","4 times","3 times","1 time","1 time","Never",1,15,13,33,"high"
"Female","18-22","Irbid","No","High School","3 times","6 or 7 times","Never","4 times","5 times or more","2 times","3 times","1 time",2,10,14,25,"low"
"Female","18-22","Ajlun","No","High School","2 times","2 times","2 times","3 times","5 times or more","2 times","3 times","3 times",8,16,2,41,"very low"
"Female","18-22","Ajlun","No","High School","2 times","3 times","4 times","2 times","5 times or more","3 times","3 times","Never",0,23,18,30,"high"
"Female","18-22","Ajlun","No","High School","2 times","6 or 7 times","3 times","4 times","5 times or more","4 times","4 times","1 time",0,24,8,30,"high"
"Female","18-22","Amman","No","High School","2 times","Never","2 times","3 times","3 times","1 time","Never","Never",8,22,13,31,"very low"
"Female","18-22","Aqaba","No","Undergraduate","3 times","6 or 7 times","1 time","5 times or more","3 times","4 times","2 times","1 time",0,18,17,33,"high"
"Female","18-22","Aqaba","No","High School","3 times","4 times","Never","5 times or more","5 times or more","5 times or more","2 times","1 time",2,24,7,24,"low"
"Female","18-22","Ajlun","No","Undergraduate","3 times","2 times","3 times","3 times","5 times or more","5 times or more","5 times or more","4 times",0,24,17,33,"high"
"Female","18-22","Ajlun","No","High School","1 time","Never","Never","1 time","1 time","1 time","3 times","Never",0,13,4,34,"high"
"Male","18-22","Irbid","No","Undergraduate","3 times","4 times","4 times","2 times","5 times or more","5 times or more","2 times","1 time",0,16,6,38,"high"
"Female","18-22","Ajlun","Yes","Undergraduate","2 times","5 times","Never","5 times or more","5 times or more","2 times","1 time","2 times",2,7,3,37,"low"
"Female","18-22","Amman","No","High School","2 times","1 time","Never","5 times or more","5 times or more","Never","4 times","Never",5,12,11,37,"very low"
"Female","18-22","Aqaba","No","Undergraduate","2 times","Never","3 times","1 time","3 times","2 times","2 times","1 time",7,16,6,37,"very low"
"Female","18-22","Amman","No","Undergraduate","None","6 or 7 times","2 times","4 times","5 times or more","5 times or more","3 times","4 times",1,18,17,32,"high"
"Female","18-22","Aqaba","Yes","Undergraduate","2 times","2 times","3 times","5 times or more","5 times or more","5 times or more","3 times","Never",4,23,7,34,"low"
"Female","18-22","Irbid","No","High School","5 times","Never","2 times","1 time","5 times or more","3 times","3 times","3 times",1,15,12,36,"high"
"Female","18-22","Irbid","No","High School","4 times","6 or 7 times","4 times","4 times","1 time","3 times","4 times","Never",0,20,9,35,"high"
"Male","18-22","Amman","No","High School","1 time","Never","3 times","5 times or more","3 times","2 times","1 time","Never",8,13,16,38,"very low"
"Male","18-22","Aqaba","No","High School","5 times","1 time","1 time","5 times or more","2 times","2 times","1 time","2 times",4,23,19,30,"low"
"Female","18-22","Irbid","No","Undergraduate","2 times","6 or 7 times","5 times or more","2 times","3 times","1 time","Never","1 time",0,25,21,27,"high"
"Female","18-22","Ajlun","No","Undergraduate","5 times","3 times","5 times or more","Never","Never","5 times or more","3 times","Never",0,23,24,27,"high"
